map,rssi_med,BSSID,area,Y,X,channel
GHC7,-53.0,00:1a:1e:1e:d2:f0,-11.5!35.5,35.5,-11.5,149
GHC7,-85.0,00:1a:1e:1e:e4:b0,-11.5!35.5,35.5,-11.5,149
GHC7,-67.0,00:1a:1e:1e:ef:70,-11.5!35.5,35.5,-11.5,165
GHC7,-77.0,00:1a:1e:1e:ef:60,-11.5!35.5,35.5,-11.5,1
GHC7,-67.0,00:1a:1e:1e:d9:50,-11.5!35.5,35.5,-11.5,157
GHC7,-73.0,00:1a:1e:1e:d9:40,-11.5!35.5,35.5,-11.5,11
GHC7,-81.0,00:1a:1e:1e:dd:b0,-11.5!35.5,35.5,-11.5,40
GHC7,-65.0,00:1a:1e:1e:d2:e0,-11.5!35.5,35.5,-11.5,6
GHC7,-75.0,00:1a:1e:1e:ee:90,-11.5!35.5,35.5,-11.5,157
GHC7,-71.0,00:1a:1e:1e:ea:30,-11.5!35.5,35.5,-11.5,165
GHC7,-89.0,00:1a:1e:1e:d6:50,-11.5!35.5,35.5,-11.5,165
GHC7,-71.0,00:1a:1e:1e:cc:b0,-11.5!35.5,35.5,-11.5,48
GHC7,-89.0,00:1a:1e:1e:e5:10,-11.5!35.5,35.5,-11.5,165
GHC7,-67.0,00:1a:1e:1e:e3:f0,-11.5!35.5,35.5,-11.5,36
GHC7,-81.0,00:1a:1e:1e:dc:30,-11.5!35.5,35.5,-11.5,165
GHC7,-79.0,00:1a:1e:1e:f0:00,-11.5!35.5,35.5,-11.5,11
GHC7,-63.0,00:1a:1e:1e:f0:10,-11.5!35.5,35.5,-11.5,44
GHC7,-59.0,00:1a:1e:1e:d6:20,-11.5!35.5,35.5,-11.5,1
GHC7,-45.0,00:1a:1e:1e:d6:30,-11.5!35.5,35.5,-11.5,161
GHC7,-71.0,00:1a:1e:1e:e3:e0,-11.5!35.5,35.5,-11.5,1
GHC7,-89.0,00:1a:1e:1f:94:b0,-11.5!35.5,35.5,-11.5,153
GHC7,-73.0,00:1a:1e:1f:94:b0,15.5!49.5,49.5,15.5,153
GHC7,-89.0,00:1a:1e:1e:ea:30,15.5!49.5,49.5,15.5,165
GHC7,-77.0,00:1a:1e:1e:ea:70,15.5!49.5,49.5,15.5,149
GHC7,-57.0,00:1a:1e:1e:d2:f0,15.5!49.5,49.5,15.5,149
GHC7,-57.0,00:1a:1e:1e:d9:50,15.5!49.5,49.5,15.5,157
GHC7,-59.0,00:1a:1e:1e:dd:b0,15.5!49.5,49.5,15.5,40
GHC7,-55.0,00:1a:1e:1e:d6:50,15.5!49.5,49.5,15.5,165
GHC7,-73.0,00:1a:1e:1e:cc:b0,15.5!49.5,49.5,15.5,48
GHC7,-85.0,00:1a:1e:1e:dc:30,15.5!49.5,49.5,15.5,165
GHC7,-89.0,00:1a:1e:1e:ef:70,15.5!49.5,49.5,15.5,165
GHC7,-87.0,00:1a:1e:1e:f0:10,15.5!49.5,49.5,15.5,44
GHC7,-77.0,00:1a:1e:1e:d6:30,15.5!49.5,49.5,15.5,161
GHC7,-69.0,00:1a:1e:1e:dd:a0,15.5!49.5,49.5,15.5,6
GHC7,-91.0,00:1a:1e:1e:e3:f0,15.5!49.5,49.5,15.5,36
GHC7,-67.0,00:1a:1e:1e:d9:40,15.5!49.5,49.5,15.5,11
GHC7,-61.0,00:1a:1e:1e:d6:40,15.5!49.5,49.5,15.5,1
GHC7,-65.0,00:1a:1e:1e:db:90,15.5!49.5,49.5,15.5,36
GHC7,-83.0,00:1a:1e:1e:e4:90,15.5!49.5,49.5,15.5,48
GHC7,-81.0,00:1a:1e:1e:cc:a0,15.5!49.5,49.5,15.5,1
GHC7,-75.0,00:1a:1e:1e:ef:30,15.5!49.5,49.5,15.5,44
GHC7,-79.0,00:1a:1e:1e:d1:b0,15.5!49.5,49.5,15.5,165
GHC7,-75.0,00:1a:1e:1e:ef:50,15.5!49.5,49.5,15.5,157
